ID,associatedWithOccupation,contactDetails,description,endDate,function,name,sourceRecordLink,startDate,type,url,warning,workCount
Q16875193,,,alternative dance group,,,RÜFÜS DU SOL,https://www.wikidata.org/wiki/Q16875193,1/1/2010,musical group,,,
Q7278568,,,band from Australia,,,Rabbit,https://www.wikidata.org/wiki/Q7278568,1/1/1973,musical group,,,
Q7278969,,,,,,Race the Fray,https://www.wikidata.org/wiki/Q7278969,1/1/2003,musical group,,,
Q7279990,,,,,,Radarmaker,https://www.wikidata.org/wiki/Q7279990,,musical group,,,
Q2126038,,,Australian punk rock band,,,Radio Birdman,https://www.wikidata.org/wiki/Q2126038,1/1/1974,musical group,,,
Q60734654,,,,,,Radio Freedom,https://www.wikidata.org/wiki/Q60734654,,musical group,,,
Q7283871,,,Australian rock band,,,Rail,https://www.wikidata.org/wiki/Q7283871,,musical group,,,
Q85847031,,,Australian soul and R&B group,,,Railroad Gin,https://www.wikidata.org/wiki/Q85847031,1/1/1968,musical group,,,
Q15841700,,,,,,Rampage,https://www.wikidata.org/wiki/Q15841700,,musical group,,,
Q7291412,,,,,,Rand & Holland,https://www.wikidata.org/wiki/Q7291412,,musical group,,,
Q165629,,,band,,,Random,https://www.wikidata.org/wiki/Q165629,,musical group,,,
Q51030048,,,,,,Randomorder,https://www.wikidata.org/wiki/Q51030048,,musical group,,,
Q7295186,,,,,,Raspberry Cordial,https://www.wikidata.org/wiki/Q7295186,,musical group,,,
Q7295500,,,Australian indie rock band,,,Ratcat,https://www.wikidata.org/wiki/Q7295500,,musical group,,,
Q7295996,,,,,,Rattlesnake Gunfight,https://www.wikidata.org/wiki/Q7295996,,musical group,,,
Q7296033,,,Australian country rock group,,,Rattling Sabres,https://www.wikidata.org/wiki/Q7296033,,musical group,,,
Q28003838,,,,,,Raven Black Night,https://www.wikidata.org/wiki/Q28003838,,musical group,,,
Q7297245,,,,,,Ray Brown & The Whispers,https://www.wikidata.org/wiki/Q7297245,,musical group,,,
